journal,ISSN,eISSN,categories
International Advances in Economic Research,1083-0898,1573-966X,[ECONOMICS]
Global Economic Review,1226-508X,1744-3873,[ECONOMICS]
Voprosy Ekonomiki,0042-8736,0042-8736,[ECONOMICS]
Studies in Business and Economics,1842-4120,2344-5416,[ECONOMICS]
Review of Regional Studies,0048-749X,1553-0892,[ECONOMICS]
Journal of Korea Trade,N/A,1229-828X,[ECONOMICS]
European Journal of Economics and Economic Policies-Intervention,2052-7764,2052-7772,[ECONOMICS]
Global Economy Journal,2194-5659,1553-5304,[ECONOMICS]
Terra Economicus,2073-6606,2073-6606,[ECONOMICS]
Economics and Business Letters,2254-4380,2254-4380,[ECONOMICS]
China Economic Quarterly International,N/A,2666-9331,[ECONOMICS]
African Review of Economics and Finance-AREF,2042-1478,2410-4906,[ECONOMICS]
Ekonomski Pregled,0424-7558,1848-9494,[ECONOMICS]
International Journal of Applied Behavioral Economics,2160-9802,2160-9810,[ECONOMICS]
Environmental Policy and Governance,1756-932X,1756-9338,[ENVIRONMENTAL STUDIES]
Housing Theory & Society,1403-6096,1651-2278,"[ENVIRONMENTAL STUDIES, URBAN STUDIES]"
Chinese Journal of Population Resources and Environment,2096-9589,2325-4262,[ENVIRONMENTAL STUDIES]
Australasian Journal of Environmental Management,1448-6563,2159-5356,[ENVIRONMENTAL STUDIES]
Environment and Urbanization ASIA,0975-4253,0976-3546,[ENVIRONMENTAL STUDIES]
Psyecology-Bilingual Journal of Environmental Psychology-Revista Bilingue de Psicologia Ambiental,2171-1976,1989-9386,[ENVIRONMENTAL STUDIES]
CHINA QUARTERLY,0305-7410,1468-2648,[AREA STUDIES]
Review of African Political Economy,0305-6244,1740-1720,[AREA STUDIES]
East European Politics,2159-9165,2159-9173,[AREA STUDIES]
Bulletin of Latin American Research,0261-3050,1470-9856,[AREA STUDIES]
Transformation-Critical Perspectives on Southern Africa,0258-7696,1726-1368,[AREA STUDIES]
Africa Spectrum,0002-0397,1868-6869,[AREA STUDIES]
Arab Studies Quarterly,0271-3519,2043-6920,[AREA STUDIES]
Inner Asia,1464-8172,2210-5018,[AREA STUDIES]
Safundi,1753-3171,1543-1304,[AREA STUDIES]
Hallazgos-Revista de Investigaciones,1794-3841,2422-409X,[AREA STUDIES]
Ankara Avrupa Calismalari Dergisi-Ankara Review of European Studies,1303-2518,1303-2518,[AREA STUDIES]
JOURNAL OF PEASANT STUDIES,0306-6150,1743-9361,[DEVELOPMENT STUDIES]
GROWTH AND CHANGE,0017-4815,1468-2257,[DEVELOPMENT STUDIES]
Development in Practice,0961-4524,1364-9213,[DEVELOPMENT STUDIES]
COMMUNITY DEVELOPMENT JOURNAL,0010-3802,1468-2656,[DEVELOPMENT STUDIES]
MARINE ECOLOGY PROGRESS SERIES,0171-8630,1616-1599,[ECOLOGY]
AMERICAN NATURALIST,0003-0147,1537-5323,[ECOLOGY]
JOURNAL OF ANIMAL ECOLOGY,0021-8790,1365-2656,[ECOLOGY]
Biology Letters,1744-9561,1744-957X,[ECOLOGY]
HEREDITY,0018-067X,1365-2540,[ECOLOGY]
ECOLOGICAL RESEARCH,0912-3814,1440-1703,[ECOLOGY]
FLORA,0367-2530,1618-0585,[ECOLOGY]
INTERNATIONAL JOURNAL OF SUSTAINABLE DEVELOPMENT AND WORLD ECOLOGY,1350-4509,1745-2627,[ECOLOGY]
WILDLIFE RESEARCH,1035-3712,1448-5494,[ECOLOGY]
People and Nature,N/A,2575-8314,[ECOLOGY]
ACTA OECOLOGICA-INTERNATIONAL JOURNAL OF ECOLOGY,1146-609X,1873-6238,[ECOLOGY]
Conservation Physiology,2051-1434,2051-1434,[ECOLOGY]
PEDOBIOLOGIA,0031-4056,1873-1511,[ECOLOGY]
WILDLIFE BIOLOGY,0909-6396,1903-220X,[ECOLOGY]
Marine Biology Research,1745-1000,1745-1019,[ECOLOGY]
POLAR RESEARCH,0800-0395,1751-8369,[ECOLOGY]
NEW ZEALAND JOURNAL OF ECOLOGY,0110-6465,1177-7788,[ECOLOGY]
SOUTHEASTERN NATURALIST,1528-7092,1938-5412,[ECOLOGY]
Soil Ecology Letters,2662-2289,2662-2297,[ECOLOGY]
Journal of Wildlife and Biodiversity,N/A,2588-3526,[ECOLOGY]
African Journal of Wildlife Research,2410-7220,2410-8200,[ECOLOGY]
EDUCATION AND URBAN SOCIETY,0013-1245,1552-3535,[URBAN STUDIES]
Urban Research & Practice,1753-5069,1753-5077,[URBAN STUDIES]
ACE-Architecture City and Environment,1886-4805,1886-4805,[URBAN STUDIES]
TRIA-Territorio della Ricerca su Insediamenti e Ambiente,1974-6849,2281-4574,[URBAN STUDIES]
International Public Management Journal,1096-7494,1559-3169,[PUBLIC ADMINISTRATION]
Policy Design and Practice,N/A,2574-1292,[PUBLIC ADMINISTRATION]
Nonprofit Policy Forum,2194-6035,2154-3348,[PUBLIC ADMINISTRATION]
Central European Public Administration Review,2591-2240,2591-2259,[PUBLIC ADMINISTRATION]
TREES-STRUCTURE AND FUNCTION,0931-1890,1432-2285,[FORESTRY]
DENDROCHRONOLOGIA,1125-7865,1612-0051,[FORESTRY]
BALTIC FORESTRY,1392-1355,1392-1355,[FORESTRY]
BOIS ET FORETS DES TROPIQUES,0006-579X,1777-5760,[FORESTRY]
Revista Cubana de Ciencias Forestales,2310-3469,2310-3469,[FORESTRY]
INTERNATIONAL JOURNAL OF PRODUCTION RESEARCH,0020-7543,1366-588X,[OPERATIONS RESEARCH & MANAGEMENT SCIENCE]
ANNALS OF OPERATIONS RESEARCH,0254-5330,1572-9338,[OPERATIONS RESEARCH & MANAGEMENT SCIENCE]
OPTIMIZATION AND ENGINEERING,1389-4420,1573-2924,[OPERATIONS RESEARCH & MANAGEMENT SCIENCE]
APPLIED STOCHASTIC MODELS IN BUSINESS AND INDUSTRY,1524-1904,1526-4025,[OPERATIONS RESEARCH & MANAGEMENT SCIENCE]
MATHEMATICAL METHODS OF OPERATIONS RESEARCH,1432-2994,1432-5217,[OPERATIONS RESEARCH & MANAGEMENT SCIENCE]
Journal of the Operations Research Society of China,2194-668X,2194-6698,[OPERATIONS RESEARCH & MANAGEMENT SCIENCE]
MILITARY OPERATIONS RESEARCH,1082-5983,2163-2758,[OPERATIONS RESEARCH & MANAGEMENT SCIENCE]
Social Media + Society,2056-3051,2056-3051,[COMMUNICATION]
PUBLIC UNDERSTANDING OF SCIENCE,0963-6625,1361-6609,[COMMUNICATION]
JOURNALISM & MASS COMMUNICATION QUARTERLY,1077-6990,2161-430X,[COMMUNICATION]
EUROPEAN JOURNAL OF COMMUNICATION,0267-3231,1460-3705,[COMMUNICATION]
Television & New Media,1527-4764,1552-8316,[COMMUNICATION]
COMMUNICATION QUARTERLY,0146-3373,1746-4102,[COMMUNICATION]
Journal of Communication Management,1363-254X,1478-0852,[COMMUNICATION]
CRITICAL STUDIES IN MEDIA COMMUNICATION,1529-5036,1479-5809,[COMMUNICATION]
Text & Talk,1860-7330,1860-7349,[COMMUNICATION]
Nordicom Review,1403-1108,2001-5119,[COMMUNICATION]
Jurnal Komunikasi-Malaysian Journal of Communication,2289-151X,2289-1528,[COMMUNICATION]
Canadian Journal of Communication,0705-3657,1499-6642,[COMMUNICATION]
JMM-International Journal on Media Management,1424-1277,1424-1250,[COMMUNICATION]
African Journalism Studies,2374-3670,2374-3689,[COMMUNICATION]
Global Media and Communication,1742-7665,1742-7673,[COMMUNICATION]
Communication Teacher,1740-4622,1740-4630,[COMMUNICATION]
Communication Today,1338-130X,1338-130X,[COMMUNICATION]
Index Comunicacion,2444-3239,2174-1859,[COMMUNICATION]
Tripodos,1138-3305,2340-5007,[COMMUNICATION]
Revista Espanola de Comunicacion en Salud,N/A,1989-9882,[COMMUNICATION]
Central European Journal of Communication,1899-5101,1899-5101,[COMMUNICATION]
Revista Internacional de Relaciones Publicas,2174-3681,2174-3681,[COMMUNICATION]
Hipertext Net,N/A,1695-5498,[COMMUNICATION]
Communitas,1023-0556,2415-0525,[COMMUNICATION]
Comunicacion y Hombre,1885-365X,1885-9542,[COMMUNICATION]
International Food and Agribusiness Management Review,1559-2448,1559-2448,[AGRICULTURAL ECONOMICS & POLICY]
Human Resources for Health,N/A,1478-4491,"[HEALTH POLICY & SERVICES, INDUSTRIAL RELATIONS & LABOR]"
WORK AND OCCUPATIONS,0730-8884,1552-8464,[INDUSTRIAL RELATIONS & LABOR]
Global Labour Journal,1918-6711,1918-6711,[INDUSTRIAL RELATIONS & LABOR]
Cuadernos de Relaciones Laborales,1131-8635,1988-2572,[INDUSTRIAL RELATIONS & LABOR]
JOURNAL OF AGING AND HEALTH,0898-2643,1552-6887,[HEALTH POLICY & SERVICES]
Health Systems,2047-6965,2047-6973,[HEALTH POLICY & SERVICES]
International Journal of Health Governance,2059-4631,2059-4631,[HEALTH POLICY & SERVICES]
BMJ Quality & Safety,2044-5415,2044-5423,"[HEALTH CARE SCIENCES & SERVICES, HEALTH POLICY & SERVICES]"
Risk Management and Healthcare Policy,N/A,1179-1594,"[HEALTH CARE SCIENCES & SERVICES, HEALTH POLICY & SERVICES]"
Disability and Health Journal,1936-6574,1876-7583,"[HEALTH CARE SCIENCES & SERVICES, HEALTH POLICY & SERVICES]"
JOURNAL OF MANIPULATIVE AND PHYSIOLOGICAL THERAPEUTICS,0161-4754,N/A,[HEALTH CARE SCIENCES & SERVICES]
Gaceta Sanitaria,0213-9111,1578-1283,"[HEALTH CARE SCIENCES & SERVICES, HEALTH POLICY & SERVICES]"
INTERNATIONAL JOURNAL OF HEALTH SERVICES,0020-7314,1541-4469,"[HEALTH CARE SCIENCES & SERVICES, HEALTH POLICY & SERVICES]"
Journal of Comparative Effectiveness Research,2042-6305,2042-6313,[HEALTH CARE SCIENCES & SERVICES]
Pharmacoeconomics-Open,2509-4262,2509-4254,"[ECONOMICS, HEALTH CARE SCIENCES & SERVICES, HEALTH POLICY & SERVICES]"
Health SA Gesondheid,1025-9848,2071-9736,[HEALTH CARE SCIENCES & SERVICES]
African Journal of Disability,2223-9170,2226-7220,[HEALTH CARE SCIENCES & SERVICES]
Operations Research for Health Care,2211-6923,2211-6923,[HEALTH CARE SCIENCES & SERVICES]
Internet Journal of Allied Health Sciences and Practice,1540-580X,1540-580X,[HEALTH CARE SCIENCES & SERVICES]
International Review of Economics & Finance,1059-0560,1873-8036,"['BUSINESS, FINANCE', ECONOMICS]"
ACCOUNTING ORGANIZATIONS AND SOCIETY,0361-3682,1873-6289,"['BUSINESS, FINANCE']"
Journal of Behavioral and Experimental Finance,2214-6350,2214-6369,"['BUSINESS, FINANCE', ECONOMICS]"
Sustainability Accounting Management and Policy Journal,2040-8021,2040-803X,"['BUSINESS, FINANCE', ENVIRONMENTAL STUDIES, MANAGEMENT]"
Risks,N/A,2227-9091,"['BUSINESS, FINANCE']"
Journal of Islamic Accounting and Business Research,1759-0817,1759-0825,"['BUSINESS, FINANCE']"
Journal of Applied Accounting Research,0967-5426,1758-8855,"['BUSINESS, FINANCE']"
Journal of Public Budgeting Accounting & Financial Management,1096-3367,1945-1814,"['BUSINESS, FINANCE', PUBLIC ADMINISTRATION]"
Qualitative Research in financial Markets,1755-4179,1755-4179,"['BUSINESS, FINANCE']"
Journal of Asset Management,1470-8272,1479-179X,"['BUSINESS, FINANCE']"
Australasian Accounting Business and Finance Journal,1834-2000,1834-2019,"['BUSINESS, FINANCE']"
Review of Behavioral Finance,1940-5979,1940-5987,"['BUSINESS, FINANCE']"
Journal of Computational Finance,1460-1559,1755-2850,"['BUSINESS, FINANCE']"
RISK MANAGEMENT AND INSURANCE REVIEW,1098-1616,1540-6296,"['BUSINESS, FINANCE', ECONOMICS]"
Financial Markets and Portfolio Management,1934-4554,2373-8529,"['BUSINESS, FINANCE']"
Journal of Investment Management,1545-9144,1545-9152,"['BUSINESS, FINANCE']"
Asian Journal of Accounting and Governance,2180-3838,2180-3838,"['BUSINESS, FINANCE']"
De Computis-Revista Espanola de Historia de la Contabilidad,1886-1881,1886-1881,"['BUSINESS, FINANCE']"
Contaduria Universidad de Antioquia,0120-4203,2590-4604,"['BUSINESS, FINANCE']"
Scientific Bulletin of Mukachevo State University-Series Economics,2313-8114,2518-1254,"['BUSINESS, FINANCE']"
OPERATIONS RESEARCH,0030-364X,N/A,"[MANAGEMENT, OPERATIONS RESEARCH & MANAGEMENT SCIENCE]"
SMALL BUSINESS ECONOMICS,0921-898X,1573-0913,"[BUSINESS, ECONOMICS, MANAGEMENT]"
SUPPLY CHAIN MANAGEMENT-AN INTERNATIONAL JOURNAL,1359-8546,1758-6852,"[BUSINESS, MANAGEMENT]"
HUMAN RESOURCE MANAGEMENT REVIEW,1053-4822,1873-7889,[MANAGEMENT]
Journal of Destination Marketing & Management,2212-571X,2212-5752,[MANAGEMENT]
LEADERSHIP & ORGANIZATION DEVELOPMENT JOURNAL,0143-7739,1472-5347,[MANAGEMENT]
GROUP & ORGANIZATION MANAGEMENT,1059-6011,1552-3993,[MANAGEMENT]
International Journal of Logistics-Research and Applications,1367-5567,1469-848X,[MANAGEMENT]
JOURNAL OF FORECASTING,0277-6693,1099-131X,"[ECONOMICS, MANAGEMENT]"
Journal of Family Business Strategy,1877-8585,1877-8593,"[BUSINESS, MANAGEMENT]"
International Journal of Public Sector Management,0951-3558,1758-6666,"[MANAGEMENT, PUBLIC ADMINISTRATION]"
Academy of Management Discoveries,N/A,2168-1007,[MANAGEMENT]
Journal of Modelling in Management,1746-5664,1746-5672,[MANAGEMENT]
Journal of Advances in Management Research,0972-7981,2049-3207,[MANAGEMENT]
European Journal of International Management,1751-6757,1751-6765,[MANAGEMENT]
INTERNATIONAL STUDIES OF MANAGEMENT & ORGANIZATION,0020-8825,1558-0911,[MANAGEMENT]
Team Performance Management,1352-7592,1758-6860,[MANAGEMENT]
Journal of Corporate Real Estate,1463-001X,1479-1048,[MANAGEMENT]
Journal of Innovation Economics & Management,N/A,2032-5355,[MANAGEMENT]
Foresight and STI Governance,1995-459X,2500-2597,"[ECONOMICS, MANAGEMENT]"
Business Management and Economics Engineering,2669-2481,2669-249X,"[BUSINESS, ECONOMICS, MANAGEMENT]"
Revista CICAG,1856-6189,1856-6189,[MANAGEMENT]
MARKETING SCIENCE,0732-2399,1526-548X,[BUSINESS]
Cogent Business & Management,2331-1975,2331-1975,[BUSINESS]
European Business Review,0955-534X,1758-7107,[BUSINESS]
EMERGING MARKETS FINANCE AND TRADE,1540-496X,1558-0938,"[BUSINESS, ECONOMICS]"
Journal of International Business Policy,2522-0691,2522-0705,[BUSINESS]
Journal of Global Marketing,0891-1762,1528-6975,[BUSINESS]
JOURNAL OF BUSINESS AND TECHNICAL COMMUNICATION,1050-6519,1552-4574,"[BUSINESS, COMMUNICATION]"
International Journal of Innovation,2318-9975,2318-9975,[BUSINESS]
Accounting History Review,2155-2851,2155-286X,[BUSINESS]
Landscape Research,0142-6397,1469-9710,"[ENVIRONMENTAL STUDIES, GEOGRAPHY]"
GLOBAL NETWORKS-A JOURNAL OF TRANSNATIONAL AFFAIRS,1470-2266,1471-0374,[GEOGRAPHY]
TIJDSCHRIFT VOOR ECONOMISCHE EN SOCIALE GEOGRAFIE,0040-747X,1467-9663,"[ECONOMICS, GEOGRAPHY]"
Dialogues in Human Geography,2043-8206,2043-8214,[GEOGRAPHY]
Annals of GIS,1947-5683,1947-5691,[GEOGRAPHY]
Geo-Geography and Environment,2054-4049,2054-4049,[GEOGRAPHY]
Geohumanities,2373-566X,2373-5678,[GEOGRAPHY]
Regional Statistics,2063-9538,2064-8243,[GEOGRAPHY]
Finisterra-Revista Portuguesa de Geografia,0430-5027,2182-2905,[GEOGRAPHY]
Journal of Urban and Regional Analysis,2067-4082,2068-9969,[GEOGRAPHY]
Geografares,2175-3709,2175-3709,[GEOGRAPHY]
Entorno Geografico,1692-0074,2382-3518,[GEOGRAPHY]
Asian Population Studies,1744-1730,1744-1749,[DEMOGRAPHY]
BLACK SCHOLAR,0006-4246,2162-5387,[ETHNIC STUDIES]
Journal of African American Studies,1559-1646,1936-4741,[ETHNIC STUDIES]
Identidade,2178-437X,2178-437X,[ETHNIC STUDIES]
American Economic Journal-Economic Policy,1945-7731,1945-774X,[ECONOMICS]
JCMS-Journal of Common Market Studies,0021-9886,1468-5965,[ECONOMICS]
Annual Review of Economics,1941-1383,1941-1391,[ECONOMICS]
Socio-Economic Review,1475-1461,1475-147X,[ECONOMICS]
LAND ECONOMICS,0023-7639,1543-8325,"[ECONOMICS, ENVIRONMENTAL STUDIES]"
Technological and Economic Development of Economy,2029-4913,2029-4921,[ECONOMICS]
Economic Change and Restructuring,1573-9414,1574-0277,[ECONOMICS]
Journal of Agrarian Change,1471-0358,1471-0366,"[DEVELOPMENT STUDIES, ECONOMICS]"
MANCHESTER SCHOOL,1463-6786,1467-9957,[ECONOMICS]
Journal of Economics,0931-8658,1617-7134,[ECONOMICS]
HISTORY OF POLITICAL ECONOMY,0018-2702,1527-1919,[ECONOMICS]
Journal of Applied Economics,1514-0326,1667-6726,[ECONOMICS]
REVIEW OF SOCIAL ECONOMY,0034-6764,1470-1162,[ECONOMICS]
Baltic Journal of Economic Studies,2256-0742,2256-0963,[ECONOMICS]
SCANDINAVIAN ECONOMIC HISTORY REVIEW,0358-5522,1750-2837,[ECONOMICS]
REVUE D ECONOMIE POLITIQUE,0373-2630,2105-2883,[ECONOMICS]
Review of Regional Research-Jahrbuch fur Regionalwissenschaft,0173-7600,1613-9836,[ECONOMICS]
Zbornik Radova Ekonomskog Fakulteta u Rijeci-Proceedings of Rijeka Faculty of Economics,1331-8004,1846-7520,[ECONOMICS]
Journal of Chinese Economic and Foreign Trade Studies,1754-4408,1754-4416,[ECONOMICS]
Agricultural and Resource Economics-International Scientific E-Journal,N/A,2414-584X,"[AGRICULTURAL ECONOMICS & POLICY, ECONOMICS]"
Oeconomia-History Methodology Philosophy,2113-5207,2269-8450,[ECONOMICS]
Ekonomska Misao i Praksa-Economic Thought and Practice,1330-1039,1848-963X,[ECONOMICS]
Journal of Philosophical Economics,1843-2298,1844-8208,[ECONOMICS]
Turkish Journal of Islamic Economics-TUJISE,N/A,2587-232X,[ECONOMICS]
Ekonomista,0013-3205,2299-6184,[ECONOMICS]
European Transport Research Review,1867-0717,1866-8887,[TRANSPORTATION]
Journal of Transportation Safety & Security,1943-9962,1943-9970,[TRANSPORTATION]
Journal of Eta Maritime Science,N/A,2148-9386,[TRANSPORTATION]
Regional Sustainability,2097-0129,2666-660X,[ENVIRONMENTAL STUDIES]
Case Studies in the Environment,2473-9510,2473-9510,[ENVIRONMENTAL STUDIES]
Revista Eletronica em Gestao Educacao e Tecnologia Ambiental,2236-1170,2236-1170,[ENVIRONMENTAL STUDIES]
JOURNAL OF CONTEMPORARY ASIA,0047-2336,1752-7554,[AREA STUDIES]
PACIFIC REVIEW,0951-2748,1470-1332,[AREA STUDIES]
Journal of Contemporary African Studies,0258-9001,1469-9397,[AREA STUDIES]
Journal of the Indian Ocean Region,1948-0881,1948-108X,[AREA STUDIES]
GERMAN STUDIES REVIEW,0149-7952,2164-8646,[AREA STUDIES]
Digest of Middle East Studies,1060-4367,1949-3606,[AREA STUDIES]
Comparative Southeast European Studies,2701-8199,2701-8202,[AREA STUDIES]
Studi irlandesi-A Journal of Irish Studies,2239-3978,2239-3978,[AREA STUDIES]
THIRD WORLD QUARTERLY,0143-6597,1360-2241,[DEVELOPMENT STUDIES]
Indian Growth and Development Review,1753-8254,1753-8262,[DEVELOPMENT STUDIES]
Journal of Sport for Development,2330-0574,2330-0574,[DEVELOPMENT STUDIES]
ISME Journal,1751-7362,1751-7370,[ECOLOGY]
Nature Ecology & Evolution,2397-334X,2397-334X,[ECOLOGY]
JOURNAL OF EVOLUTIONARY BIOLOGY,1010-061X,1420-9101,[ECOLOGY]
BIOTROPICA,0006-3606,1744-7429,[ECOLOGY]
PLANT ECOLOGY,1385-0237,1573-5052,"[ECOLOGY, FORESTRY]"
Frontiers in Forests and Global Change,N/A,2624-893X,"[ECOLOGY, FORESTRY]"
Fungal Ecology,1754-5048,1878-0083,[ECOLOGY]
Theoretical Ecology,1874-1738,1874-1746,[ECOLOGY]
Landscape and Ecological Engineering,1860-1871,1860-188X,[ECOLOGY]
PLANT SPECIES BIOLOGY,0913-557X,1442-1984,[ECOLOGY]
NORTHEASTERN NATURALIST,1092-6194,1938-5307,[ECOLOGY]
Frontiers in Conservation Science,N/A,2673-611X,[ECOLOGY]
Ecological Restoration,1543-4060,1543-4079,[ECOLOGY]
Ecological Questions,1644-7298,2083-5469,[ECOLOGY]
Biosystems Diversity,2519-8513,2520-2529,[ECOLOGY]
Israel Journal of Ecology & Evolution,1565-9801,2224-4662,[ECOLOGY]
Neotropical Biodiversity,N/A,2376-6808,[ECOLOGY]
Tropics,0917-415X,1882-5729,[ECOLOGY]
Chinese Journal of Urban and Environmental Studies,2345-7481,2345-752X,[URBAN STUDIES]
International Journal of Knowledge-Based Development,2040-4468,2040-4476,[URBAN STUDIES]
Public Performance & Management Review,1530-9576,1557-9271,[PUBLIC ADMINISTRATION]
Opera-Colombia,1657-8651,2346-2159,[PUBLIC ADMINISTRATION]
CANADIAN JOURNAL OF FOREST RESEARCH,0045-5067,1208-6037,[FORESTRY]
ANNALS OF FOREST SCIENCE,1286-4560,1297-966X,[FORESTRY]
SCANDINAVIAN JOURNAL OF FOREST RESEARCH,0282-7581,1651-1891,[FORESTRY]
SILVA FENNICA,0037-5330,2242-4075,[FORESTRY]
FOREST PRODUCTS JOURNAL,0015-7473,0015-7473,[FORESTRY]
Cerne,0104-7760,N/A,[FORESTRY]
Scientia Forestalis,1413-9324,1413-9324,[FORESTRY]
Southern Forests-A Journal of Forest Science,2070-2620,2070-2639,[FORESTRY]
NETWORKS,0028-3045,1097-0037,[OPERATIONS RESEARCH & MANAGEMENT SCIENCE]
INFORMS JOURNAL ON COMPUTING,1091-9856,1526-5528,[OPERATIONS RESEARCH & MANAGEMENT SCIENCE]
Mathematical Programming Computation,1867-2949,1867-2957,[OPERATIONS RESEARCH & MANAGEMENT SCIENCE]
Fuzzy Optimization and Decision Making,1568-4539,1573-2908,[OPERATIONS RESEARCH & MANAGEMENT SCIENCE]
International Journal of Management Science and Engineering Management,1750-9653,1750-9661,[OPERATIONS RESEARCH & MANAGEMENT SCIENCE]
INFOR,0315-5986,1916-0615,[OPERATIONS RESEARCH & MANAGEMENT SCIENCE]
Studies in Informatics and Control,1220-1766,N/A,[OPERATIONS RESEARCH & MANAGEMENT SCIENCE]
Journalism Studies,1461-670X,1469-9699,[COMMUNICATION]
HUMAN COMMUNICATION RESEARCH,0360-3989,1468-2958,[COMMUNICATION]
Internet Policy Review,2197-6775,2197-6775,[COMMUNICATION]
Psychology of Popular Media,2689-6567,2689-6575,[COMMUNICATION]
Womens Studies in Communication,0749-1409,2152-999X,[COMMUNICATION]
TRIPLEC-Communication Capitalism & Critique,1726-670X,1726-670X,[COMMUNICATION]
Media History,1368-8804,1469-9729,[COMMUNICATION]
Revista de Comunicacion-Peru,1684-0933,2227-1465,[COMMUNICATION]
International Journal of Media & Cultural Politics,1740-8296,2040-0918,[COMMUNICATION]
Electronic News,1931-2431,1931-244X,[COMMUNICATION]
Journal of Argumentation in Context,2211-4742,2211-4750,[COMMUNICATION]
Austral Comunicacion,2313-9129,2313-9137,[COMMUNICATION]
Tijdschrift voor Communicatiewetenschap,1384-6930,1875-7286,[COMMUNICATION]
Connectist-Istanbul University Journal of Communication Sciences,N/A,2636-8943,[COMMUNICATION]
Zagadnienia Ekonomiki Rolnej,0044-1600,2392-3458,[AGRICULTURAL ECONOMICS & POLICY]
Research on World Agricultural Economy,2737-4777,2737-4785,[AGRICULTURAL ECONOMICS & POLICY]
INTERNATIONAL LABOR AND WORKING-CLASS HISTORY,0147-5479,1471-6445,[INDUSTRIAL RELATIONS & LABOR]
JOURNAL OF HEALTH CARE FOR THE POOR AND UNDERSERVED,1049-2089,1548-6869,[HEALTH POLICY & SERVICES]
Journal of Pediatric Health Care,0891-5245,1532-656X,[HEALTH POLICY & SERVICES]
PSYCHOLOGY PUBLIC POLICY AND LAW,1076-8971,1939-1528,[HEALTH POLICY & SERVICES]
Journal of Health Organization and Management,1477-7266,1758-7247,[HEALTH POLICY & SERVICES]
Health Economics Policy and Law,1744-1331,1744-134X,[HEALTH POLICY & SERVICES]
Journal of Mental Health Policy and Economics,1091-4358,1099-176X,[HEALTH POLICY & SERVICES]
Sahara J-Journal of Social Aspects of HIV-AIDS,1729-0376,1813-4424,[HEALTH POLICY & SERVICES]
JOURNAL OF MEDICAL ECONOMICS,1369-6998,1941-837X,[HEALTH CARE SCIENCES & SERVICES]
Lancet Regional Health-Americas,2667-193X,2667-193X,[HEALTH CARE SCIENCES & SERVICES]
Simulation in Healthcare-Journal of the Society for Simulation in Healthcare,1559-2332,1559-713X,[HEALTH CARE SCIENCES & SERVICES]
Perspectives on Medical Education,2212-2761,2212-277X,[HEALTH CARE SCIENCES & SERVICES]
Australian Journal of Primary Health,1448-7527,1836-7399,"[HEALTH CARE SCIENCES & SERVICES, HEALTH POLICY & SERVICES]"
Value in Health Regional Issues,2212-1099,2212-1099,"[HEALTH CARE SCIENCES & SERVICES, HEALTH POLICY & SERVICES]"
Journal of Healthcare Informatics Research,2509-4971,2509-498X,[HEALTH CARE SCIENCES & SERVICES]
JOURNAL OF THE HISTORY OF MEDICINE AND ALLIED SCIENCES,0022-5045,1468-4373,[HEALTH CARE SCIENCES & SERVICES]
Professional Case Management,1932-8087,1932-8095,[HEALTH CARE SCIENCES & SERVICES]
African Journal of Health Professions Education,2078-5127,2078-5127,[HEALTH CARE SCIENCES & SERVICES]
Journal of Basic and Clinical Health Sciences,2458-8938,2564-7288,[HEALTH CARE SCIENCES & SERVICES]
Journal of Empirical Finance,0927-5398,1879-1727,"['BUSINESS, FINANCE', ECONOMICS]"
Managerial Auditing Journal,0268-6902,1758-7735,"['BUSINESS, FINANCE', MANAGEMENT]"
JOURNAL OF FINANCIAL RESEARCH,0270-2592,1475-6803,"['BUSINESS, FINANCE']"
Journal of Pension Economics & Finance,1474-7472,1475-3022,"['BUSINESS, FINANCE', ECONOMICS]"
Asian Journal of Business and Accounting,1985-4064,2180-3137,"['BUSINESS, FINANCE']"
Asian Academy of Management Journal of Accounting and Finance,1823-4992,2180-4192,"['BUSINESS, FINANCE']"
Ekonomi Politika & Finans Arastirmalari Dergisi,N/A,2587-151X,"['BUSINESS, FINANCE', ECONOMICS]"
JOURNAL OF ORGANIZATIONAL BEHAVIOR,0894-3796,1099-1379,"[BUSINESS, MANAGEMENT]"
Corporate Social Responsibility and Environmental Management,1535-3958,1535-3966,"[BUSINESS, ENVIRONMENTAL STUDIES, MANAGEMENT]"
HUMAN RELATIONS,0018-7267,1741-282X,[MANAGEMENT]
INTERNATIONAL JOURNAL OF OPERATIONS & PRODUCTION MANAGEMENT,0144-3577,1758-6593,[MANAGEMENT]
Public Management Review,1471-9037,1471-9045,"[MANAGEMENT, PUBLIC ADMINISTRATION]"
R & D MANAGEMENT,0033-6807,1467-9310,"[BUSINESS, MANAGEMENT]"
International Journal of Construction Management,1562-3599,2331-2327,[MANAGEMENT]
International Journal of Innovation Management,1363-9196,1757-5877,[MANAGEMENT]
Cornell Hospitality Quarterly,1938-9655,1938-9663,[MANAGEMENT]
Management Communication Quarterly,0893-3189,1552-6798,"[COMMUNICATION, MANAGEMENT]"
Disaster Prevention and Management,0965-3562,1758-6100,"[ENVIRONMENTAL STUDIES, MANAGEMENT]"
Journal of Service Theory and Practice,2055-6225,2055-6225,"[BUSINESS, MANAGEMENT]"
JOURNAL OF CHANGE MANAGEMENT,1469-7017,1479-1811,[MANAGEMENT]
